data_id;data_short_name;data_name;data_category_id;data_category_name;data_color;diameter;frequency
101;ПУ;Политико-управленческий;1;Тип конфликта;MediumBlue;;
102;ПИ;Политико-институциональный;1;Тип конфликта;Salmon;;
103;ПТ;Политико-территориальный;1;Тип конфликта;Red;;
201;ИП;Фактор исторической памяти;2;Фактор конфликта;SaddleBrown;;
202;ДСД;Фактор диспропорций в экономическом развитии и четко выраженных социальных дисбалансов ;2;Факторы конфликта;OrangeRed;;
203;КЛ;Культурно-лингвистический фактор ;2;Факторы конфликта;Orange ;;
204;МЭП;Фактор межэтнических (этноплеменных, межклановых) противоречий ;2;Факторы конфликта;Green;;
205;РМП;Фактор религиозных (межконфессиональных) противоречий, религиозного фундаментализма ;2;Факторы конфликта;Fuchsia;;
206;ВП;Внешнеполитический фактор;2;Факторы конфликта;RoyalBlue;;
307;Л-;Латентный с нисходящей тенденцией;3;Интенсивность конфликта;MediumBlue;10;4
301;Л;Латентный;3;Интенсивность конфликта;MediumBlue;10;4
305;Л+;Латентный с восходящей тенденцией;3;Интенсивность конфликта;MediumBlue;10;4
302;А;Активный;3;Интенсивность конфликта;Salmon;10;2
306;А+;Активный с восходящей тенденцией;3;Интенсивность конфликта;OrangeRed;10;1
303;Г;Горячий;3;Интенсивность конфликта;Red;10;0.25
304;З;Замороженный;3;Интенсивность конфликта;DarkCyan;10;5
